   Simtime [s] 	   Realtime [s]	 Percentage [%]
             60	      0.0555588	       0.013889
            120	       0.113964	       0.027778
            180	      0.1258795	       0.041667
            240	      0.1381181	       0.055556
            300	      0.1468662	       0.069444
            360	      0.1558425	       0.083333
            420	       0.164258	       0.097222
            480	      0.1727093	        0.11111
            540	      0.1811141	          0.125
            600	      0.1893029	        0.13889
            660	      0.2104774	        0.15278
            720	      0.2225707	        0.16667
            780	      0.2311912	        0.18056
            840	      0.2392235	        0.19444
            900	      0.2398824	        0.20833
            960	      0.2473776	        0.22222
           1020	      0.2549678	        0.23611
           1080	      0.2632561	           0.25
           1140	      0.2710351	        0.26389
           1200	      0.2714309	        0.27778
           1260	       0.282782	        0.29167
           1320	      0.2831148	        0.30556
           1380	      0.3009211	        0.31944
           1440	      0.3012308	        0.33333
           1500	      0.3092999	        0.34722
           1560	      0.3097018	        0.36111
           1620	      0.3180537	          0.375
           1680	      0.3184852	        0.38889
           1740	      0.3279835	        0.40278
           1800	       0.328875	        0.41667
           1860	      0.3376769	        0.43056
           1920	      0.3380563	        0.44444
           1980	      0.3500521	        0.45833
           2040	      0.3504459	        0.47222
           2100	      0.3507504	        0.48611
           2160	      0.3616515	            0.5
           2220	      0.3622521	        0.51389
           2280	      0.3652775	        0.52778
           2340	      0.3792426	        0.54167
           2400	      0.3796305	        0.55556
           2460	      0.3799379	        0.56944
           2520	      0.3884826	        0.58333
           2580	      0.3888042	        0.59722
           2640	      0.3891529	        0.61111
           2700	      0.3990461	          0.625
           2760	      0.3994596	        0.63889
           2820	      0.3997522	        0.65278
           2880	      0.4084828	        0.66667
           2940	      0.4090318	        0.68056
           3000	      0.4095454	        0.69444
           3060	      0.4377472	        0.70833
           3120	      0.4380978	        0.72222
           3180	      0.4385039	        0.73611
           3240	      0.4388578	           0.75
           3300	      0.4391167	        0.76389
           3360	      0.4612668	        0.77778
           3420	      0.4615945	        0.79167
           3480	      0.4622491	        0.80556
           3540	      0.4627145	        0.81944
           3600	       0.463039	        0.83333
           7200	      0.4771779	         1.6667
          10800	      0.4892787	            2.5
          14400	      0.5020967	         3.3333
          18000	      0.5163818	         4.1667
          21600	       0.526636	              5
          25200	      0.5364785	         5.8333
          28800	      0.5481524	         6.6667
          32400	      0.5629781	            7.5
          36000	      0.6080432	         8.3333
          39600	      0.6255941	         9.1667
          43200	      0.6385529	             10
          46800	      0.6500263	         10.833
          50400	      0.6628583	         11.667
          54000	      0.6756613	           12.5
          57600	      0.6874243	         13.333
          61200	      0.7037579	         14.167
          64800	      0.7139634	             15
          68400	      0.7277571	         15.833
          72000	        0.74339	         16.667
          75600	      0.7681322	           17.5
          79200	      0.7773969	         18.333
          82800	      0.7909296	         19.167
          86400	      0.8029451	             20
          90000	      0.8180202	         20.833
          93600	      0.8577662	         21.667
          97200	      0.8737456	           22.5
         100800	      0.9144664	         23.333
         104400	      0.9381808	         24.167
         108000	      0.9505702	             25
         111600	       0.985741	         25.833
         115200	       1.000213	         26.667
         118800	       1.012308	           27.5
         122400	       1.029559	         28.333
         126000	       1.102053	         29.167
         129600	       1.112522	             30
         133200	       1.131675	         30.833
         136800	       1.169278	         31.667
         140400	       1.184172	           32.5
         144000	       1.199253	         33.333
         147600	       1.209233	         34.167
         151200	       1.221646	             35
         154800	       1.241321	         35.833
         158400	       1.256208	         36.667
         162000	       1.271307	           37.5
         165600	       1.284816	         38.333
         169200	       1.297454	         39.167
         172800	        1.30722	             40
         176400	        1.32321	         40.833
         180000	        1.33931	         41.667
         183600	       1.351446	           42.5
         187200	       1.370124	         43.333
         190800	       1.383409	         44.167
         194400	       1.396783	             45
         198000	       1.421442	         45.833
         201600	        1.43588	         46.667
         205200	       1.447296	           47.5
         208800	       1.460816	         48.333
         212400	       1.474843	         49.167
         216000	       1.487879	             50
         219600	       1.501687	         50.833
         223200	       1.512846	         51.667
         226800	       1.526434	           52.5
         230400	       1.543602	         53.333
         234000	       1.554977	         54.167
         237600	       1.564346	             55
         241200	       1.577166	         55.833
         244800	       1.591541	         56.667
         248400	       1.604008	           57.5
         252000	       1.634548	         58.333
         255600	       1.643956	         59.167
         259200	       1.656412	             60
         262800	       1.671527	         60.833
         266400	       1.684044	         61.667
         270000	       1.694117	           62.5
         273600	       1.706953	         63.333
         277200	       1.719824	         64.167
         280800	       1.740783	             65
         284400	       1.753003	         65.833
         288000	       1.766043	         66.667
         291600	       1.777883	           67.5
         295200	       1.789579	         68.333
         298800	       1.803184	         69.167
         302400	        1.81684	             70
         306000	       1.830301	         70.833
         309600	       1.840485	         71.667
         313200	       1.853154	           72.5
         316800	       1.866472	         73.333
         320400	       1.881407	         74.167
         324000	        1.89445	             75
         327600	       1.907306	         75.833
         331200	       1.919255	         76.667
         334800	       1.934399	           77.5
         338400	       1.946781	         78.333
         342000	       1.961359	         79.167
         345600	       1.974194	             80
         349200	       1.988354	         80.833
         352800	       1.999307	         81.667
         356400	       2.014554	           82.5
         360000	       2.028442	         83.333
         363600	       2.050404	         84.167
         367200	       2.064767	             85
         370800	         2.0779	         85.833
         374400	       2.093303	         86.667
         378000	       2.106826	           87.5
         381600	       2.121639	         88.333
         385200	       2.144563	         89.167
         388800	       2.157632	             90
         392400	       2.171123	         90.833
         396000	       2.183889	         91.667
         399600	       2.196398	           92.5
         403200	        2.20912	         93.333
         406800	       2.222398	         94.167
         410400	       2.239791	             95
         414000	       2.253073	         95.833
         417600	       2.268266	         96.667
         421200	       2.278315	           97.5
         424800	       2.292282	         98.333
         428400	       2.306452	         99.167
         432000	       2.320639	            100
