                 Time [s]	     Steps	  RhsEvals	 LinSetups	  NIters	 NConvFails	  NErrFails	 Order	  StepSize [s]
            64.0400226755	       158	       197	        33	     195	          0	          6	     4	      4.565769
           123.1022945940	       166	       205	        35	     203	          0	          6	     4	     11.701202
           181.6083028215	       171	       211	        35	     209	          0	          6	     4	     11.701202
           257.0738778709	       175	       216	        36	     214	          0	          6	     4	     18.866394
           324.9553715136	       178	       219	        37	     217	          0	          6	     4	     30.148706
           385.2527837496	       180	       222	        37	     220	          0	          6	     4	     30.148706
           445.5501959856	       182	       224	        37	     222	          0	          6	     4	     30.148706
           523.6060875951	       184	       226	        38	     224	          0	          6	     4	     47.907185
           571.5132730866	       185	       228	        38	     226	          0	          6	     4	     47.907185
           619.4204585782	       186	       229	        38	     227	          0	          6	     4	     47.907185
           667.3276440697	       187	       230	        38	     228	          0	          6	     4	     47.907185
           763.1420150528	       189	       232	        38	     230	          0	          6	     4	     47.907185
           838.9008579214	       190	       233	        39	     231	          0	          6	     4	     75.758843
           914.6597007900	       191	       235	        39	     233	          0	          6	     4	     75.758843
           990.4185436587	       192	       236	        39	     234	          0	          6	     4	     75.758843
          1066.1773865273	       193	       237	        39	     235	          0	          6	     4	     75.758843
          1141.9362293960	       194	       238	        39	     236	          0	          6	     4	     75.758843
          1217.6950722646	       195	       239	        39	     237	          0	          6	     4	     75.758843
          1337.0033502887	       196	       240	        40	     238	          0	          6	     4	    119.308278
          1456.3116283127	       197	       242	        40	     240	          0	          6	     4	    119.308278
          1575.6199063368	       198	       243	        40	     241	          0	          6	     4	    119.308278
          1694.9281843609	       199	       244	        40	     242	          0	          6	     4	    119.308278
          1814.2364623849	       200	       245	        40	     243	          0	          6	     4	    119.308278
          1933.5447404090	       201	       246	        40	     244	          0	          6	     4	    119.308278
          2120.8654821445	       202	       247	        41	     245	          0	          6	     4	    187.320742
          2308.1862238800	       203	       249	        41	     247	          0	          6	     4	    187.320742
          2495.5069656155	       204	       250	        41	     248	          0	          6	     4	    187.320742
          2682.8277073510	       205	       251	        41	     249	          0	          6	     4	    187.320742
          2870.1484490865	       206	       252	        41	     250	          0	          6	     4	    187.320742
          3057.4691908220	       207	       253	        41	     251	          0	          6	     4	    187.320742
