   Simtime [s] 	   Realtime [s]	 Percentage [%]
             60	      0.0490839	       0.013889
            120	      0.1222543	       0.027778
            180	      0.1354284	       0.041667
            240	      0.1491491	       0.055556
            300	      0.2030896	       0.069444
            360	      0.2145269	       0.083333
            420	      0.2486274	       0.097222
            480	      0.2570672	        0.11111
            540	       0.265522	          0.125
            600	      0.2732904	        0.13889
            660	       0.281728	        0.15278
            720	      0.2926539	        0.16667
            780	      0.3009213	        0.18056
            840	      0.3102193	        0.19444
            900	      0.3108806	        0.20833
            960	       0.318716	        0.22222
           1020	      0.3264358	        0.23611
           1080	      0.3344249	           0.25
           1140	      0.3348286	        0.26389
           1200	      0.3434881	        0.27778
           1260	      0.3518491	        0.29167
           1320	      0.3534669	        0.30556
           1380	      0.3641447	        0.31944
           1440	      0.3644647	        0.33333
           1500	      0.3739611	        0.34722
           1560	      0.3743028	        0.36111
           1620	       0.412677	          0.375
           1680	      0.4130502	        0.38889
           1740	      0.4231098	        0.40278
           1800	      0.4234613	        0.41667
           1860	      0.4499624	        0.43056
           1920	      0.4505676	        0.44444
           1980	      0.4584411	        0.45833
           2040	       0.458733	        0.47222
           2100	      0.4590785	        0.48611
           2160	      0.4681818	            0.5
           2220	      0.4685406	        0.51389
           2280	      0.4688209	        0.52778
           2340	      0.4770407	        0.54167
           2400	      0.4775399	        0.55556
           2460	      0.4778324	        0.56944
           2520	      0.4856735	        0.58333
           2580	      0.4859847	        0.59722
           2640	      0.4862772	        0.61111
           2700	      0.4945693	          0.625
           2760	      0.4949127	        0.63889
           2820	      0.4953539	        0.65278
           2880	      0.5039927	        0.66667
           2940	      0.5043169	        0.68056
           3000	      0.5045822	        0.69444
           3060	      0.5127503	        0.70833
           3120	      0.5132433	        0.72222
           3180	       0.513578	        0.73611
           3240	       0.513898	           0.75
           3300	      0.5142896	        0.76389
           3360	      0.5228544	        0.77778
           3420	      0.5231603	        0.79167
           3480	       0.523472	        0.80556
           3540	      0.5237536	        0.81944
           3600	      0.5240207	        0.83333
           7200	      0.5353018	         1.6667
          10800	      0.5958458	            2.5
          14400	       0.606244	         3.3333
          18000	      0.6180912	         4.1667
          21600	      0.6299795	              5
          25200	      0.6414683	         5.8333
          28800	      0.6539579	         6.6667
          32400	      0.6649394	            7.5
          36000	      0.6746972	         8.3333
          39600	      0.6863591	         9.1667
          43200	      0.6980268	             10
          46800	      0.7073976	         10.833
          50400	       0.718915	         11.667
          54000	      0.7301895	           12.5
          57600	      0.7507334	         13.333
          61200	      0.7619767	         14.167
          64800	      0.7717872	             15
          68400	      0.7829206	         15.833
          72000	      0.7921864	         16.667
          75600	      0.8027726	           17.5
          79200	       0.814048	         18.333
          82800	      0.8234046	         19.167
          86400	      0.8347559	             20
          90000	       0.845627	         20.833
          93600	      0.8551009	         21.667
          97200	      0.8667192	           22.5
         100800	      0.8766897	         23.333
         104400	       0.888182	         24.167
         108000	      0.8993548	             25
         111600	      0.9086119	         25.833
         115200	       1.120851	         26.667
         118800	       1.131211	           27.5
         122400	       1.140639	         28.333
         126000	       1.150208	         29.167
         129600	       1.160675	             30
         133200	       1.170127	         30.833
         136800	       1.180698	         31.667
         140400	        1.19199	           32.5
         144000	       1.202081	         33.333
         147600	       1.214997	         34.167
         151200	       1.225619	             35
         154800	       1.235431	         35.833
         158400	       1.246057	         36.667
         162000	       1.257033	           37.5
         165600	       1.268148	         38.333
         169200	       1.279181	         39.167
         172800	       1.290088	             40
         176400	       1.300579	         40.833
         180000	       1.312002	         41.667
         183600	       1.322374	           42.5
         187200	       1.332133	         43.333
         190800	        1.34269	         44.167
         194400	       1.353868	             45
         198000	       1.363678	         45.833
         201600	       1.375095	         46.667
         205200	       1.385195	           47.5
         208800	       1.396711	         48.333
         212400	       1.408028	         49.167
         216000	       1.418048	             50
         219600	       1.438419	         50.833
         223200	       1.448757	         51.667
         226800	       1.460061	           52.5
         230400	        1.47247	         53.333
         234000	       1.637914	         54.167
         237600	       1.673304	             55
         241200	        1.68443	         55.833
         244800	       1.694324	         56.667
         248400	       1.704719	           57.5
         252000	       1.713975	         58.333
         255600	       1.723487	         59.167
         259200	       1.733919	             60
         262800	        1.76673	         60.833
         266400	       1.778405	         61.667
         270000	       1.789797	           62.5
         273600	       1.800461	         63.333
         277200	       1.811443	         64.167
         280800	       1.821591	             65
         284400	       1.831153	         65.833
         288000	       2.194824	         66.667
         291600	       2.204111	           67.5
         295200	       2.214285	         68.333
         298800	       2.223849	         69.167
         302400	       2.234204	             70
         306000	       2.244076	         70.833
         309600	       2.253532	         71.667
         313200	       2.281552	           72.5
         316800	       2.292292	         73.333
         320400	       2.302099	         74.167
         324000	       2.312885	             75
         327600	       2.324142	         75.833
         331200	       2.335278	         76.667
         334800	       2.346333	           77.5
         338400	       2.355757	         78.333
         342000	        2.36577	         79.167
         345600	       2.377702	             80
         349200	       2.387626	         80.833
         352800	       2.399034	         81.667
         356400	       2.408886	           82.5
         360000	        2.41999	         83.333
         363600	       2.431199	         84.167
         367200	       2.441133	             85
         370800	       2.452572	         85.833
         374400	        2.46434	         86.667
         378000	       2.473877	           87.5
         381600	       2.484868	         88.333
         385200	       2.504165	         89.167
         388800	       2.517527	             90
         392400	       2.528599	         90.833
         396000	       2.546357	         91.667
         399600	       2.556405	           92.5
         403200	       2.566562	         93.333
         406800	       2.576747	         94.167
         410400	       2.586454	             95
         414000	       2.597521	         95.833
         417600	       2.607356	         96.667
         421200	       2.618758	           97.5
         424800	       2.630183	         98.333
         428400	       2.639685	         99.167
         432000	         2.6504	            100
